"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Group__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Route__c","nFORCE__lookupKey__c","nPortal__Is_Portal_Enabled__c","nFORCE__Orchestration_Step__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Question_Group__c","nFORCE__Visibility_Criteria__c","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria__c","nPortal__OA_Credit_Pull_Required__c","nFORCE__Primary_Button_Text__c"
"a2D5f000000p18oEAA","0055f000004XdsRAAS","","0384","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDREA0","false","0.0","a2E5f000000y1nbEAA","a2E5f000000y1nbEAA","a2D5f000000p18oEAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p18pEAA","0055f000004XdsRAAS","","0385","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDSEA0","false","8.0","","a2E5f000000y1nbEAA","a2D5f000000p18pEAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p18qEAA","0055f000004XdsRAAS","","0386","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDREA0","false","8.0","","a2E5f000000y1nbEAA","a2D5f000000p18qEAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p18rEAA","0055f000004XdsRAAS","","0387","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDTEA0","false","8300040.0","a2E5f000000y1nxEAA","a2E5f000000y1o0EAA","a2D5f000000p18rEAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p18sEAA","0055f000004XdsRAAS","","0390","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDYEA0","true","1.000009E7","","a2E5f000000y1oUEAQ","a2D5f000000p18sEAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false",""
"a2D5f000000p18tEAA","0055f000004XdsRAAS","","0391","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDWEA0","false","9500030.0","","a2E5f000000y1oUEAQ","a2D5f000000p18tEAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false",""
"a2D5f000000p18uEAA","0055f000004XdsRAAS","","0393","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDUEA0","false","9500030.0","","a2E5f000000y1oUEAQ","a2D5f000000p18uEAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false",""
"a2D5f000000p18vEAA","0055f000004XdsRAAS","","0394","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDXEA0","false","9500030.0","","a2E5f000000y1oUEAQ","a2D5f000000p18vEAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false",""
"a2D5f000000p18wEAA","0055f000004XdsRAAS","","0397","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDaEAK","true","","a2E5f000000y1odEAA","a2E5f000000y1ofEAA","a2D5f000000p18wEAA","false","","false","false","false","false","false","","","","","","false",""
"a2D5f000000p18xEAA","0055f000004XdsRAAS","","0398","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDSEA0","false","4.0","","a2E5f000000y1n0EAA","a2D5f000000p18xEAA","false","","false","false","false","false","false","","","","","","false",""
