"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2H5f000000yMmLEAU","","SC-000011670","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNIEAY","1.01","nPortal__Secured_RL_Eligibility_Loan","","","","","50331603129897405","LLC_BI__Loan__c","","0.0","false","","false"
"a2H5f000000yMmSEAU","","SC-000011682","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNMEAY","1.01","nPortal__DEP_Co_Owners_Ownership_Percent","","","","","42782097658347977","LLC_BI__Connection__c","","0.0","false","","false"
"a2H5f000000yMmTEAU","","SC-000011684","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNOEAY","1.01","BUS_ODAO_Role","","","","","42836311607199457","LLC_BI__Connection__c","","0.0","false","","false"
"a2H5f000000yMmUEAU","","SC-000011685","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xid0EAA","1.01","NPORTAL__SBL_Others_Involved_Multi_Record","","","","","42282899411721467","Contact","","","false","","false"
"a2H5f000000yMmVEAU","","SC-000011686","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xid1EAA","1.01","NPORTAL__SBL_Others_Involved_Borrower_Type","","","","","42808994549356062","LLC_BI__Legal_Entities__c","","","false","","false"
"a2H5f000000yMmWEAU","","SC-000011687","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNPEAY","1.01","NPORTAL__SBL_Others_Involved_Connection_Role","","","","","42376565906429186","LLC_BI__Connection__c","","","false","","false"
"a2H5f000000yMmXEAU","","SC-000011690","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xid2EAA","1.01","NPORTAL__SBL_Others_Involved_Multi_Record","","","","","42366749072334294","Contact","","","false","","false"
"a2H5f000000yMmYEAU","","SC-000011691","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xid3EAA","1.01","NPORTAL__SBL_Others_Involved_Borrower_Type","","","","","42572233453521808","LLC_BI__Legal_Entities__c","","","false","","false"
"a2H5f000000yMmZEAU","","SC-000011692","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xid4EAA","1.01","NPORTAL__SBL_Others_Involved_Connection_Role","","","","","42367187536750536","LLC_BI__Connection__c","","","false","","false"
"a2H5f000000yMmaEAE","","SC-000011695","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNQEAY","1.01","NPORTAL__SBL_Others_Involved_Multi_Record","","","","","42713236086953325","Contact","","","false","","false"
"a2H5f000000yMmbEAE","","SC-000011696","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNREAY","1.01","NPORTAL__SBL_Others_Involved_Borrower_Type","","","","","42860759108395786","LLC_BI__Legal_Entities__c","","","false","","false"
"a2H5f000000yMmcEAE","","SC-000011698","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNSEAY","1.01","NPORTAL__SBL_Others_Involved_Connection_Role","","","","","42302141072589788","LLC_BI__Connection__c","","","false","","false"
"a2H5f000000yMmdEAE","","SC-000011701","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xid5EAA","1.01","NPORTAL__SBL_Others_Involved_Multi_Record","","","","","42196636527616757","Contact","","","false","","false"
"a2H5f000000yMmeEAE","","SC-000011703","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xid6EAA","1.01","NPORTAL__SBL_Others_Involved_Borrower_Type","","","","","42675593545410332","LLC_BI__Legal_Entities__c","","","false","","false"
"a2H5f000000yMmfEAE","","SC-000011705","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xid7EAA","1.01","NPORTAL__SBL_Others_Involved_Connection_Role","","","","","42267394104354608","LLC_BI__Connection__c","","","false","","false"
"a2H5f000000yMmgEAE","","SC-000011714","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNUEAY","1.01","OA_Personal_Contact_Information_Individ","","","","","42325402813970826","Contact","","0.0","false","","false"
"a2H5f000000yMmhEAE","","SC-000011716","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNWEAY","1.01","OA_Mailing_Address_Fields","","","","","42522434635556872","Contact","","0.0","false","","false"
"a2H5f000000yMmiEAE","","SC-000011718","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNYEAY","1.01","OA_Personal_Contact_Information_Individ","","","","","42035946493266584","Contact","","0.0","false","","false"
"a2H5f000000yMmjEAE","","SC-000011719","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNZEAY","1.01","OA_Mailing_Address_Fields","","","","","42877581849015412","Contact","","0.0","false","","false"
"a2H5f000000yMmkEAE","","SC-000011720","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNaEAI","1.01","EO_Business_Mailing_Address","","","","","42368078084691566","Account","","0.0","false","","false"
"a2H5f000000yMmlEAE","","SC-000011721","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNbEAI","1.01","","","","","","42179187034745105","LLC_BI__Loan__c","","0.0","false","","false"
"a2H5f000000yMmmEAE","","SC-000011723","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNcEAI","1.01","EO_Beneficial_Owner","","","","","42365990930887899","LLC_BI__Connection__c","","0.0","false","","false"
"a2H5f000000yMmnEAE","","SC-000011724","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNdEAI","1.01","EO_Detail_Summary_Screen","","","","","42202316927682003","Contact","","0.0","false","","false"
